strain,carbon_source,rna_to_protein,mass_frac,growth_rate_hr
ECOR02,LB,0.65485095670282,0.298481066065145,2.6454
ECOR02,LB,0.65485095670282,0.298481066065145,2.79
ECOR02,Glu+CAA+ACGU,0.55673391477896,0.25375931835625,1.882
ECOR02,Glu+CAA,0.365034285029984,0.166382627116667,1.3306
ECOR02,Glucose,0.356414182120292,0.162453584210429,1.0029
ECOR02,Glycerol,0.320541306538864,0.146102727520414,0.738
ECOR02,Glycerol,0.320541306538864,0.146102727520414,0.7447
ECOR02,Acetate,0.266042875327026,0.121262342574058,0.426
ECOR02,Acetate,0.266042875327026,0.121262342574058,0.3721
ECOR39,LB,0.6013674744951,0.274103294874867,2.5251
ECOR39,Glu+CAA+ACGU,0.533527554543871,0.243181859361096,1.7369
ECOR39,Glu+CAA,0.44791678772165,0.204160471843528,1.2131
ECOR39,Glucose,0.34849973140028,0.158846177572248,0.8767
ECOR39,Glucose,0.34849973140028,0.158846177572248,0.86555
ECOR39,Glycerol,0.27094349851218,0.123496046621852,0.8099
ECOR39,Glycerol,0.27094349851218,0.123496046621852,0.78965
ECOR39,Acetate,0.187951360222549,0.0856682299894378,0.313
ECOR39,Acetate,0.187951360222549,0.0856682299894378,0.3328
ECOR55,LB,0.610233143883939,0.278144266982299,2.43725859
ECOR55,LB,0.610233143883939,0.278144266982299,2.4897
ECOR55,Glu+CAA+ACGU,0.501907606575932,0.22876948707731,1.8468
ECOR55,Glu+CAA,0.392562230547846,0.178929864683708,1.1796
ECOR55,Glucose,0.263086059270747,0.119914625815606,0.3695
ECOR55,Glycerol,0.248458415812323,0.113247345927257,0.5708
ECOR55,Glycerol,0.248458415812323,0.113247345927257,0.59375
ECOR55,Acetate,0.237491718832745,0.108248725443965,0.3578
ECOR59,LB,0.602538725173458,0.274637150934062,2.3439
ECOR59,LB,0.602538725173458,0.274637150934062,2.558
ECOR59,Glu+CAA+ACGU,0.469071657829158,0.21380286163853,1.8393
ECOR59,Glu+CAA,0.410894213327445,0.187285582434649,1.3245
ECOR59,Glucose,0.298335690575073,0.135981407764118,0.8237
ECOR59,Glucose,0.298335690575073,0.135981407764118,0.80435
ECOR59,Glycerol,0.250190326856305,0.114036750981104,0.6166
ECOR59,Glycerol,0.250190326856305,0.114036750981104,0.62555
ECOR59,Acetate,0.245093146326449,0.111713456095595,0.3955
ECOR63,LB,0.603980606175833,0.275294360294945,2.5089
ECOR63,LB,0.603980606175833,0.275294360294945,2.67355
ECOR63,Glu+CAA+ACGU,0.461277925046664,0.210250478236269,1.508
ECOR63,Glu+CAA,0.311768684864389,0.142104166561189,0.8888
ECOR63,Glucose,0.20229209621003,0.0922047374525317,0.3106
ECOR63,Glycerol,0.26631960955255,0.121388478034052,0.7523
ECOR63,Glycerol,0.26631960955255,0.121388478034052,0.7247
ECOR63,Acetate,0.216157270662184,0.0985244839678235,0.3649
ECOR63,Acetate,0.216157270662184,0.0985244839678235,0.365
NCM3722,LB,0.676697063367667,0.308438521482983,2.7717
NCM3722,Glu+CAA+ACGU,0.544855051866111,0.248344932640573,1.9091
NCM3722,Glu+CAA,0.42725719480739,0.194743829393208,1.3133
NCM3722,Glucose,0.324733350796657,0.148013461293116,0.9663
NCM3722,Glucose,0.324733350796657,0.148013461293116,0.9555
NCM3722,Glycerol,0.25790790155231,0.117554421527543,0.7107
NCM3722,Glycerol,0.25790790155231,0.117554421527543,0.7165
NCM3722,Acetate,0.184967988578829,0.0843084091942303,0.4633
NCM3722,Acetate,0.184967988578829,0.0843084091942303,0.47375
Isolate_1,LB,0.569043632980735,0.259370087912619,2.71896794
Isolate_1,LB,0.573656183501964,0.261472488440195,2.72343552
Isolate_1,Glu+CAA+ACGU,0.569551087316529,0.259601385598874,1.782
Isolate_1,Glu+CAA+ACGU,0.559123192086498,0.254848350953026,1.8
Isolate_1,Glu+CAA,0.491174416804186,0.223877299179348,1.35
Isolate_1,Glu+CAA,0.426107033218441,0.194219585740965,1.392
Isolate_1,Glucose,0.349785664031975,0.159432305665774,0.90323407
Isolate_1,Glucose,0.339715892746488,0.154842503913849,0.90254957
Isolate_1,Glycerol,0.285853222841382,0.130291898971102,0.696
Isolate_1,Glycerol,0.218334702565225,0.0995169574292296,0.702
Isolate_1,Acetate,0.250295377377987,0.114084633008886,0.41468015
Isolate_1,Acetate,0.271848547925801,0.12390856814458,0.32469169