Strain,Buffer,Experiment,carbon_source,growth_rate,estimated_phiRb,estimated_nu_inv_hr
ECOR01,LB,Growth rate expt_II,LB,2.46334965,0.258833925202707,12.841163808167979
ECOR01,LB,Growth rate expt_I,LB,2.48704144,0.26086646178763306,13.104001488242051
ECOR01,MOPS,Growth rate expt_I,Glu+CAA+ACGU,2.024798,0.2212102474221462,8.819159286966366
ECOR01,MOPS,soft_agar expt_I,Glycerol,0.7942,0.11563631415931958,2.3666178282673753
ECOR01,MOPS,soft_agar expt_I,Glu+CAA,1.4788,0.17436866600105108,5.3462341420743975
ECOR01,MOPS,soft_agar expt_I,Gly+CAA,1.2843,0.15768236387832718,4.377942659334478
ECOR01,MOPS,swimming expt_I,Gly+CAA,1.3,0.1590292787540432,4.451982536844667
ECOR01,N-C-,Growth rate expt_I,Glucose,0.93957455,0.1281081067673146,2.9084094511024814
ECOR01,N-C-,Growth rate expt_II,Glucose,0.96052537,0.1299054934626298,2.9899708981391875
ECOR01,N-C-,Growth rate expt_I,Glycerol,0.72692074,0.1098643755528759,2.129324998247637
ECOR01,N-C-,Growth rate expt_I,Acetate,0.10841979,0.05680271120895948,0.2739388637147406
ECOR01,N-C-,Growth rate expt_II,Acetate,0.10358715,0.05638811536787793,0.26137572489800026
ECOR01,N-C-,Growth rate expt_I,Maltose,0.835241,0.11915725259334894,2.5154342743381206
ECOR01,N-C-,Growth rate expt_I,Fructose,0.804411,0.11651232357307348,2.403349723236199
ECOR01,N-C-,Growth rate expt_I,Succinate,0.778669,0.11430389792143769,2.311115886250628
ECOR01,N-C-,Yield expt (in glucose),Glucose,0.94115,0.12824326581450868,2.914510987176396
ECOR01,N-C-,Yield expt (in acetate),Acetate,,,
ECOR01,N-C-,Diauxie expt,Glucose,0.943892,0.12847850406859868,2.9251426700790946
ECOR01,N-C-,Preferred sugar expt_I,Mixed carbon,0.94327186,0.12842530178891545,2.922736811615001
ECOR01,MOPS,Preferred sugar expt,Mixed carbon,1.003913318,0.13362777834084588,3.161826793994866
ECOR02,LB,Growth rate expt_I,LB,2.64544483,0.2744560084344385,15.017724387923767
ECOR02,LB,Growth rate expt_II,LB,2.48503886,0.2606946589346515,13.081566410540946
ECOR02,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.88204,0.20896293061784893,7.78079582811671
ECOR02,MOPS,soft_agar expt_I,Glycerol,0.7129,0.1086615256627774,2.080884451480373
ECOR02,MOPS,soft_agar expt_I,Glu+CAA,1.3432,0.16273543943117263,4.659293689954108
ECOR02,MOPS,soft_agar expt_I,Gly+CAA,1.188,0.1494207140355595,3.938317281440796
ECOR02,MOPS,swimming expt_I,Gly+CAA,1.23,0.1530239258049909,4.127046617628522
ECOR02,N-C-,Growth rate expt_I,Glucose,0.96568835,0.13034842942218547,3.010211220414563
ECOR02,N-C-,Growth rate expt_II,Glucose,0.96916,0.13064626490169373,3.0238526253246585
ECOR02,N-C-,Growth rate expt_I,Glycerol,0.74027221,0.11100980826342853,2.1757727817362573
ECOR02,N-C-,Growth rate expt_I,Acetate,0.4158702,0.08317911444297146,1.1293101872355924
ECOR02,N-C-,Growth rate expt_II,Acetate,0.4265755,0.08409753022762131,1.1613045151782828
ECOR02,N-C-,Growth rate expt_I,Maltose,0.847933,0.12024610887376853,2.5620993367873344
ECOR02,N-C-,Growth rate expt_I,Fructose,0.72353,0.1095734814034692,2.117578881044606
ECOR02,N-C-,Growth rate expt_I,Succinate,0.739792,0.11096861068429047,2.1740967617815348
ECOR02,N-C-,Yield expt (in glucose),Glucose,0.96568835,0.13034842942218547,3.010211220414563
ECOR02,MOPS,Yield expt (in glycerol),Glycerol,0.5,0.0903966736220169,1.3851459568749125
ECOR02,MOPS,Yield expt (in galactose),Galactose,0.571,0.09648781732748424,1.609179412317634
ECOR02,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.32,0.16074509388234387,4.5472995151505495
ECOR02,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.88204,0.20896293061784893,7.78079582811671
ECOR02,LB,R/P expt,LB,2.6454,0.2744521624348284,15.01714086708927
ECOR02,LB,R/P expt,LB,2.79,0.2868575058124422,17.042372858207578
ECOR02,MOPS,R/P expt,Glu+CAA+ACGU,1.882,0.20895949898759233,7.780519671450122
ECOR02,N-C-,R/P expt,Glu+CAA,1.3306,0.1616544759003432,4.598277441840417
ECOR02,N-C-,R/P expt,Glucose,1.0029,0.13354084502313693,3.1577670235540394
ECOR02,N-C-,R/P expt,Glycerol,0.738,0.11081487364879472,2.1678459510773926
ECOR02,N-C-,R/P expt,Glycerol,0.7447,0.11138967171677545,2.1912457864768986
ECOR02,N-C-,R/P expt,Acetate,0.426,0.08404815764730447,1.1595804690858245
ECOR02,N-C-,R/P expt,Acetate,0.3721,0.0794240358765342,1.000145045742721
ECOR02,N-C-,Yield expt (in acetate),Acetate,,,
ECOR02,N-C-,Diauxie expt,Glucose,0.93212,0.1274685752840809,2.879608180833279
ECOR02,N-C-,Preferred sugar expt_I,Mixed carbon,0.91064913,0.1256265731058921,2.797288294637934
ECOR02,MOPS,Preferred sugar expt,Mixed carbon,0.894398417,0.12423241214533846,2.735601544159518
ECOR02,N-C-,cAMP_I,Glucose,0.96616765,0.1303895489317352,3.0120930558178305
ECOR02,N-C-,cAMP_I,Fructose,0.71936308,0.10921599818474828,2.1031714015716503
ECOR02,N-C-,cAMP_I,Acetate,0.403703,0.08213528115151847,1.0931405845147992
ECOR02,N-C-,cAMP_II,Glucose,0.9772981,0.13134443865647488,3.055930196718722
ECOR02,N-C-,cAMP_II,Fructose,0.73229644,0.1103255609221362,2.147988592529981
ECOR02,N-C-,cAMP_II,Acetate,0.39658606,0.08152471348555808,1.0720788718379026
ECOR09,LB,Growth rate expt_I,LB,2.26941226,0.24219588981744974,10.88292459449477
ECOR09,LB,Growth rate expt_II,LB,2.41341483,0.25454997922345846,12.30508816435425
ECOR09,MOPS,Growth rate expt_I,Glu+CAA+ACGU,2.019282,0.22073702560976088,8.776977684844416
ECOR09,MOPS,soft_agar expt_I,Glycerol,0.7871,0.11502719978877284,2.3411903206854956
ECOR09,MOPS,soft_agar expt_I,Glu+CAA,1.2989,0.15893490892198667,4.4467727062842535
ECOR09,MOPS,soft_agar expt_I,Gly+CAA,1.091,0.14109901066330133,3.5192687553469435
ECOR09,MOPS,swimming expt_I,Gly+CAA,1.21,0.15130811067669026,4.036607629577302
ECOR09,N-C-,Growth rate expt_I,Glucose,0.86588119,0.12178589767014926,2.628618477389788
ECOR09,N-C-,Growth rate expt_II,Glucose,0.91524295,0.1260206803985266,2.814822412540588
ECOR09,N-C-,Growth rate expt_III,Glucose,0.88933336,0.1237978770740232,2.7164826658180026
ECOR09,N-C-,Growth rate expt_I,Glycerol,0.721372,0.10938834495112557,2.1101136378795315
ECOR09,N-C-,Growth rate expt_II,Glycerol,0.70041743,0.1075906365404738,2.038044505954716
ECOR09,N-C-,Growth rate expt_III,Glycerol,0.73753908,0.11077533097334791,2.1662390971430545
ECOR09,N-C-,Growth rate expt_I,Acetate,0.40818535,0.0825198253485354,1.106441441187082
ECOR09,N-C-,Growth rate expt_II,Acetate,0.43089973,0.0844685091902339,1.1742736538730607
ECOR09,N-C-,Growth rate expt_III,Acetate,0.41782336,0.08334667751677105,1.135135541301643
ECOR09,N-C-,Growth rate expt_I,Maltose,0.774267,0.11392624701169872,2.2954648363280326
ECOR09,N-C-,Growth rate expt_I,Fructose,0.73452,0.1105163218164704,2.155723270797381
ECOR09,N-C-,Growth rate expt_I,Succinate,0.8000084,0.11613462118888064,2.387488672332815
ECOR09,N-C-,Yield expt (in glucose),Glucose,0.937897,0.12796418848389055,2.9019181235720564
ECOR09,N-C-,Yield expt (in acetate),Acetate,,,
ECOR09,N-C-,Diauxie expt,Glucose,0.830741,0.11877119418948129,2.498962656853263
ECOR09,N-C-,Preferred sugar expt_I,Mixed carbon,1.00703035,0.13389519087389576,3.1743289100667025
ECOR09,N-C-,Preferred sugar expt_II,Mixed carbon,1.00851795,0.13402281320313877,3.1803029900795576
ECOR09,MOPS,Preferred sugar expt,Mixed carbon,1.062301939,0.13863698230246657,3.3995843732978717
ECOR13,LB,Growth rate expt_I,LB,2.54122642,0.2655150322081665,13.726901725545542
ECOR13,LB,Growth rate expt_II,LB,2.42362741,0.2554261241866075,12.41280519112515
ECOR13,MOPS,Growth rate expt_I,Glu+CAA+ACGU,2.0306,0.22170800539086624,8.863716680127556
ECOR13,MOPS,soft_agar expt_I,Glycerol,0.8116,0.11712907332094115,2.4293265826691903
ECOR13,MOPS,soft_agar expt_I,Glu+CAA,1.4836,0.17478046163184324,5.371614823770366
ECOR13,MOPS,soft_agar expt_I,Gly+CAA,1.254,0.1550829039589517,4.2369624725461925
ECOR13,MOPS,swimming expt_I,Gly+CAA,1.26,0.1555976484974419,4.2646816594478345
ECOR13,N-C-,Growth rate expt_I,Glucose,0.89035256,0.1238853150129614,2.7203257068930276
ECOR13,N-C-,Growth rate expt_II,Glucose,0.86938319,0.1220863368991147,2.641670337106221
ECOR13,N-C-,Growth rate expt_III,Glucose,0.91093255,0.1256508879220752,2.7983688450653537
ECOR13,N-C-,Growth rate expt_I,Glycerol,0.75465424,0.11224365349591223,2.226158147584782
ECOR13,N-C-,Growth rate expt_II,Glycerol,0.76029282,0.1127273915392189,2.246012687951239
ECOR13,N-C-,Growth rate expt_III,Glycerol,0.75299963,0.11210170325244034,2.220342730409661
ECOR13,N-C-,Growth rate expt_I,Acetate,0.39706254,0.08156559106517472,1.0734867776149395
ECOR13,N-C-,Growth rate expt_II,Acetate,0.34758442,0.07732082572438094,0.9289359950109456
ECOR13,N-C-,Growth rate expt_III,Acetate,0.38231104,0.08030004872191834,1.0300432182120032
ECOR13,N-C-,Growth rate expt_I,Maltose,0.812406,0.11719822067061166,2.4322449993023607
ECOR13,N-C-,Growth rate expt_I,Fructose,0.761744,0.11285188936911326,2.251131793640584
ECOR13,N-C-,Growth rate expt_I,Succinate,0.362968,0.07864059468895211,0.9735256802523733
ECOR13,N-C-,Yield expt (in glucose),Glucose,0.990095,0.13244229438724242,3.1066564160963575
ECOR13,N-C-,Yield expt (in acetate),Acetate,,,
ECOR13,N-C-,Diauxie expt,Glucose,0.853679,0.12073906256012931,2.583327318119815
ECOR13,N-C-,Preferred sugar expt_I,Mixed carbon,0.96742736,0.13049762040549878,3.017041258963601
ECOR13,N-C-,Preferred sugar expt_II,Mixed carbon,0.95887795,0.12976416005469654,2.9835243348506966
ECOR13,MOPS,Preferred sugar expt,Mixed carbon,1.026688383,0.13558166839459745,3.2536653539801215
ECOR15,LB,Growth rate expt_I,LB,2.61744297,0.27205370768401066,14.658156373736876
ECOR15,LB,Growth rate expt_II,LB,2.47831565,0.2601178696632143,13.006542649351386
ECOR15,MOPS,Growth rate expt_I,Glu+CAA+ACGU,2.002532,0.21930003043980908,8.64994874812895
ECOR15,MOPS,soft_agar expt_I,Glycerol,,,
ECOR15,MOPS,soft_agar expt_I,Glu+CAA,1.5,0.17618743003704979,5.458908157428497
ECOR15,MOPS,soft_agar expt_I,Gly+CAA,1.326,0.16125983842083408,4.5761155074315845
ECOR15,MOPS,swimming expt_I,Gly+CAA,1.42,0.16932416952384716,5.041364852083212
ECOR15,N-C-,Growth rate expt_I,Glucose,0.9746125,0.13111403900104668,3.045328964092188
ECOR15,N-C-,Growth rate expt_II,Glucose,0.909214,0.12550345221763815,2.7918192882569177
ECOR15,N-C-,Growth rate expt_III,Glucose,0.95827237,0.12971220688842672,2.981156053562636
ECOR15,N-C-,Growth rate expt_I,Glycerol,0.69582669,0.10719679348336905,2.0223564845014645
ECOR15,N-C-,Growth rate expt_II,Glycerol,0.7132524,0.10869175832533806,2.082097783064239
ECOR15,N-C-,Growth rate expt_III,Glycerol,0.70315079,0.1078251335624284,2.0474024186659676
ECOR15,N-C-,Growth rate expt_I,Acetate,0.18239815,0.06314937067170309,0.469253665374554
ECOR15,N-C-,Growth rate expt_II,Acetate,0.18777049,0.06361026778402183,0.4836772819187454
ECOR15,N-C-,Growth rate expt_III,Acetate,0.19876076,0.06455313136052727,0.5132896868067858
ECOR15,N-C-,Growth rate expt_I,Maltose,0.808098,0.1168286340919757,2.416660381111191
ECOR15,N-C-,Growth rate expt_I,Fructose,0.69796,0.10737981176193681,2.029642199201983
ECOR15,N-C-,Growth rate expt_I,Succinate,0.56785,0.09621757644477688,1.5990764078866122
ECOR15,N-C-,Yield expt (in glucose),Glucose,0.975427,0.13118391557214676,3.048542531478379
ECOR15,MOPS,Yield expt (in glycerol),Glycerol,0.623,0.10094893666106594,1.7782193615702944
ECOR15,MOPS,Yield expt (in galactose),Galactose,0.53,0.09297039631446788,1.4788756636512077
ECOR15,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.59,0.18390859811440274,5.954390372238189
ECOR15,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.738453,0.19664449327648362,6.837668354226377
ECOR15,N-C-,Yield expt (in acetate),Acetate,,,
ECOR15,N-C-,Diauxie expt,Glucose,0.74594,0.1114960522547301,2.1955852162632015
ECOR15,N-C-,Preferred sugar expt_I,Mixed carbon,0.9699035,0.1307100503290883,3.0267774222339106
ECOR15,N-C-,Preferred sugar expt_II,Mixed carbon,0.98376008,0.1318988168086137,3.0815013740901116
ECOR15,MOPS,Preferred sugar expt,Mixed carbon,0.972625333,0.1309435584409937,3.037494606209809
ECOR24,LB,Growth rate expt_I,LB,2.18973185,0.23536004717208975,10.166358813965482
ECOR24,LB,Growth rate expt_II,LB,2.2060484,0.23675985633867347,10.30935288173484
ECOR24,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.722439,0.1952706401032533,6.738136977628359
ECOR24,MOPS,soft_agar expt_I,Glycerol,0.7832,0.11469261583875422,2.327262405002935
ECOR24,MOPS,soft_agar expt_I,Glu+CAA,1.314,0.16023034934385366,4.518585898757134
ECOR24,MOPS,soft_agar expt_I,Gly+CAA,1.1625,0.1472330497469762,3.8259232022288616
ECOR24,MOPS,swimming expt_I,Gly+CAA,1.18,0.14873438798423927,3.9028806764252444
ECOR24,N-C-,Carbon ,Glucose,0.6107721,0.09989989587069856,1.7380819648946584
ECOR24,N-C-,Growth rate expt_II,Glucose,0.72514442,0.10971198371644075,2.1231690103624103
ECOR24,N-C-,Growth rate expt_III,Glucose,0.72716289,0.10988514978454181,2.130164616869841
ECOR24,N-C-,Growth rate expt_I,Glycerol,0.614109,0.1001861710457799,1.7490112732151362
ECOR24,N-C-,Growth rate expt_II,Glycerol,0.63636089,0.10209517752054399,1.8223524200732502
ECOR24,N-C-,Growth rate expt_III,Glycerol,0.63094771,0.10163077671373327,1.8044368699265105
ECOR24,N-C-,Growth rate expt_I,Acetate,0.37466738,0.07964429334873901,1.0076491005296546
ECOR24,N-C-,Growth rate expt_II,Acetate,0.38261821,0.08032640106856637,1.030944812537764
ECOR24,N-C-,Growth rate expt_III,Acetate,0.38007207,0.08010796579202778,1.0234753509894325
ECOR24,N-C-,Growth rate expt_I,Maltose,0.656641,0.10383502349762407,1.8898991310672835
ECOR24,N-C-,Growth rate expt_I,Fructose,0.635176,0.10199352491117539,1.8184268015326448
ECOR24,N-C-,Growth rate expt_I,Succinate,0.557805,0.09535580829658788,1.5669618604132676
ECOR24,N-C-,Yield expt (in glucose),Glucose,0.655187,0.1037102837377966,1.8850337276287648
ECOR24,N-C-,Yield expt (in acetate),Acetate,,,
ECOR24,N-C-,Diauxie expt,Glucose,0.76459,0.11309604986187045,2.2611821771863476
ECOR24,N-C-,Preferred sugar expt_I,Mixed carbon,0.731661,0.11027104604387983,2.1457798030876782
ECOR24,MOPS,Preferred sugar expt,Mixed carbon,0.9075,0.1253564068611428,2.7852929969755826
ECOR26,LB,Growth rate expt_I,LB,2.49866362,0.26186353740102475,13.235014729860495
ECOR26,LB,Growth rate expt_II,LB,2.49122757,0.2612255930467847,13.15103096713951
ECOR26,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.907846,0.21117684687789529,7.960612442692755
ECOR26,MOPS,soft_agar expt_I,Glycerol,0.7786,0.11429797835924506,2.3108702892093316
ECOR26,MOPS,soft_agar expt_I,Glu+CAA,1.5135,0.17734560524865273,5.531441506843843
ECOR26,MOPS,soft_agar expt_I,Gly+CAA,1.24,0.15388183336914124,4.172659132928082
ECOR26,MOPS,swimming expt_I,Gly+CAA,1.25,0.15473974093329157,4.218536707769692
ECOR26,N-C-,Growth rate expt_I,Glucose,0.9477722,0.12881138936164027,2.94021415885735
ECOR26,N-C-,Growth rate expt_II,Glucose,0.94843566,0.1288683080968914,2.942794300889355
ECOR26,N-C-,Growth rate expt_III,Glucose,0.9043121,0.1250829145087673,2.773170338153662
ECOR26,N-C-,Growth rate expt_I,Glycerol,0.79015507,0.1152892965549737,2.3521202196212396
ECOR26,N-C-,Growth rate expt_II,Glycerol,0.76757235,0.11335190792426482,2.271729709595752
ECOR26,N-C-,Growth rate expt_III,Glycerol,0.78297964,0.1146737109876706,2.3264762715788
ECOR26,N-C-,Growth rate expt_I,Acetate,0.38922799,0.08089345909450332,1.0503767605127665
ECOR26,N-C-,Growth rate expt_II,Acetate,0.36336969,0.07867505597789648,0.9746942293880068
ECOR26,N-C-,Growth rate expt_III,Acetate,0.38153205,0.08023321858057861,1.0277573304211567
ECOR26,N-C-,Growth rate expt_I,Maltose,0.822881,0.11809687884405913,2.4702841425254713
ECOR26,N-C-,Growth rate expt_I,Fructose,0.72264,0.10949712763025982,2.114499090116641
ECOR26,N-C-,Growth rate expt_I,Succinate,0.650772,0.10333151754822424,1.8702816218450768
ECOR26,N-C-,Yield expt (in glucose),Glucose,0.931478,0.12741349761846246,2.877133101500031
ECOR26,N-C-,Yield expt (in acetate),Acetate,,,
ECOR26,N-C-,Diauxie expt,Glucose,0.887012,0.12359872584371161,2.7077373270648106
ECOR26,N-C-,Preferred sugar expt,Mixed carbon,0.979563,0.1315387461406793,3.0648826661615542
ECOR26,MOPS,Preferred sugar expt,Mixed carbon,1.022885454,0.1352554122390948,3.2382510590187765
ECOR28,LB,Growth rate expt_I,LB,2.44411738,0.2571839742118288,12.631875135348228
ECOR28,LB,Growth rate expt_II,LB,2.43382113,0.2563006511360906,12.521295049748915
ECOR28,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.753771,0.1979586360832491,6.933889255048806
ECOR28,MOPS,soft_agar expt_I,Glycerol,,,
ECOR28,MOPS,soft_agar expt_I,Glu+CAA,1.4828,0.1747118290267112,5.367379437103465
ECOR28,MOPS,soft_agar expt_I,Gly+CAA,1.227,0.1527665535357458,4.1134142065131805
ECOR28,MOPS,swimming expt_I,Gly+CAA,1.35,0.16331881657479486,4.69241426488138
ECOR28,N-C-,Growth rate expt_I,Glucose,0.87348798,0.12243848993813958,2.656999256010566
ECOR28,N-C-,Growth rate expt_II,Glucose,0.87323647,0.12241691270499364,2.656059069840334
ECOR28,N-C-,Growth rate expt_III,Glucose,0.85255967,0.12064303439275127,2.5791870900478835
ECOR28,N-C-,Growth rate expt_I,Glycerol,0.7877315,0.11508137665144894,2.3434481892593055
ECOR28,N-C-,Growth rate expt_II,Glycerol,0.80782273,0.11680501847045734,2.4156657396055032
ECOR28,N-C-,Growth rate expt_III,Glycerol,0.77198273,0.11373027776054255,2.287357102791854
ECOR28,N-C-,Growth rate expt_I,Acetate,0.10617651,0.056610258520908764,0.2681047008902136
ECOR28,N-C-,Growth rate expt_II,Acetate,0.12349045,0.05809563453003326,0.31325420993381453
ECOR28,N-C-,Growth rate expt_III,Acetate,0.13273498,0.05888872975143472,0.33748318987181664
ECOR28,N-C-,Growth rate expt_I,Maltose,0.740466,0.11102643365411419,2.1764492593321516
ECOR28,N-C-,Growth rate expt_I,Fructose,0.739997,0.11098619778935555,2.1748121991197817
ECOR28,N-C-,Growth rate expt_I,Succinate,0.750438,0.11188193907708491,2.2113490630543557
ECOR28,N-C-,Yield expt (in glucose),Glucose,0.910012,0.12557191324125738,2.7948598015414596
ECOR28,N-C-,Yield expt (in acetate),Acetate,,,
ECOR28,N-C-,Diauxie expt,Glucose,0.827036,0.1184533394369636,2.4854298163080033
ECOR28,N-C-,Preferred sugar expt_I,Mixed carbon,0.89068766,0.12391406349543609,2.7215897001173905
ECOR28,N-C-,Preferred sugar expt_II,Mixed carbon,0.87929647,0.12293680468886872,2.678746869619964
ECOR28,MOPS,Preferred sugar expt,Mixed carbon,0.908925138,0.1254786705281586,2.790718992008362
ECOR35,LB,Growth rate expt_I,LB,2.64586402,0.27449197106162015,15.023181929302229
ECOR35,LB,Growth rate expt_II,LB,2.64586402,0.27449197106162015,15.023181929302229
ECOR35,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.98,0.21736699311626556,8.481545604401784
ECOR35,MOPS,soft_agar expt_I,Glycerol,0.6745,0.10536716061644014,1.9499465344871671
ECOR35,MOPS,soft_agar expt_I,Glu+CAA,1.4121,0.16864642254816836,5.001237577848925
ECOR35,MOPS,soft_agar expt_I,Gly+CAA,1.263,0.15585502076668697,4.278577633203931
ECOR35,MOPS,swimming expt_I,Gly+CAA,1.32,0.16074509388234387,4.5472995151505495
ECOR35,N-C-,Growth rate expt_I,Glucose,0.93700504,0.12788766656079859,2.898469020877911
ECOR35,N-C-,Growth rate expt_II,Glucose,0.88842153,0.12371965048860128,2.713046224473608
ECOR35,N-C-,Growth rate expt_III,Glucose,0.88842153,0.12371965048860128,2.713046224473608
ECOR35,N-C-,Growth rate expt_I,Glycerol,0.67463606,0.10537883330675796,1.9504060587807317
ECOR35,N-C-,Growth rate expt_II,Glycerol,0.64184503,0.10256566603942993,1.8405516524792238
ECOR35,N-C-,Growth rate expt_III,Glycerol,0.66834134,0.10483880451653713,1.9291790300340201
ECOR35,N-C-,Growth rate expt_I,Acetate,0.18965701,0.06377211376181391,0.4887502292320928
ECOR35,N-C-,Growth rate expt_II,Acetate,0.15184263,0.060527989498248426,0.38785304956046535
ECOR35,N-C-,Growth rate expt_III,Acetate,0.1734311,0.06238008066939167,0.4452539902778518
ECOR35,N-C-,Growth rate expt_I,Maltose,0.745015,0.11141669580504618,2.192347883280227
ECOR35,N-C-,Growth rate expt_I,Fructose,0.746106,0.11151029352029498,2.1961663469230364
ECOR35,N-C-,Growth rate expt_I,Succinate,0.122224,0.05798698482657144,0.3099418399126359
ECOR35,N-C-,Yield expt (in glucose),Glucose,0.955123,0.12944202005389593,2.9688519832290505
ECOR35,N-C-,Yield expt (in acetate),Acetate,,,
ECOR35,N-C-,Diauxie expt,Glucose,0.931557,0.12742027508821924,2.877437621735889
