,,,,,,,,mM/OD,mM/OD,mM/OD/h,h,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mm/h,ug/ml/OD600,ug/ml/OD600,,uM/OD/h
ECOR35,,MOPS,Preferred sugar expt,Mixed carbon,1.080432827,,,4.58345999,-2.476447245,-2.675634897,,0.466859754,-0.255607606,1.404169704,-0.124997292,,,,,,,,
ECOR36,,LB,Growth rate expt_I,LB,2.48617191,,,,,0,,,,,,,,,,,,,
ECOR36,,LB,Growth rate expt_II,LB,2.40431851,,,,,0,,,,,,,,,,,,,
ECOR36,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.755416,,,,,0,,,,,,,,,,,,,
ECOR36,,MOPS,soft_agar expt_I,Glycerol,0.7299,,,,,0,,,,,,,,,0,,,,
ECOR36,,MOPS,soft_agar expt_I,Glu+CAA,1.2571,,,,,0,,,,,,,,,,,,,
ECOR36,,MOPS,soft_agar expt_I,Gly+CAA,1.244,,,,,0,,,,,,,,,,,,,
ECOR36,,MOPS,swimming expt_I,Gly+CAA,1.23,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_I,Glucose,0.76949664,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_II,Glucose,0.7758345,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_III,Glucose,0.77575152,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_I,Glycerol,0.60948402,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_II,Glycerol,0.61711491,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_III,Glycerol,0.62932224,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_I,Acetate,0.15259852,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_II,Acetate,0.1686595,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_III,Acetate,0.17342345,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_I,Maltose,0.604647,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_I,Fructose,0.614734,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Growth rate expt_I,Succinate,0.421027,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Yield expt (in glucose),Glucose,0.799473,,,4.529756,-2.279208,-1.822165257,,,,,,,,,,,,,
ECOR36,,MOPS,Yield expt (in glycerol),Glycerol,0.675754,,,,0,0,,,,,8.1618,,,,,,,,
ECOR36,,MOPS,Yield expt (in galactose),Galactose,0.334,,,,0,0,,,,,,3.19,,,,,,,
ECOR36,,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.25,,,,-4.032053,-5.04006625,,,,,,,3.759586,,,,,,
ECOR36,,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.549247,,,,-10.798,-16.72876911,,,,,,,,,,,,,
ECOR36,,N-C-,Yield expt (in acetate),Acetate,,,,,19.59,0,,,,,,,,,,,,,
ECOR36,,N-C-,Diauxie expt,Glucose,0.733769,Acetate,0.247275,,,0,5.357168,,,,,,,,,,,,
ECOR36,,N-C-,Preferred sugar expt_I,Mixed carbon,0.82302503,,,,,0,,,,,,,,,,,,,
ECOR36,,N-C-,Preferred sugar expt_II,Mixed carbon,0.81873061,,,,,0,,,,,,,,,,,,,
ECOR36,,MOPS,Preferred sugar expt,Mixed carbon,0.786125552,,,4.555051611,-2.852176852,-2.242169102,,0.996242592,0.128432266,1.084886885,-0.098505868,,,,,,,,
ECOR36,,N-C-,cAMP_I,Glucose,0.76107208,,,,,,,,,,,,,,,,,,0.051300781
ECOR36,,N-C-,cAMP_I,Fructose,0.65557669,,,,,,,,,,,,,,,,,,0.104923369
ECOR36,,N-C-,cAMP_I,Acetate,0.2945234,,,,,,,,,,,,,,,,,,0.044591902
ECOR36,,N-C-,cAMP_II,Glucose,0.82421175,,,,,,,,,,,,,,,,,,0.053837531
ECOR36,,N-C-,cAMP_II,Fructose,0.65260396,,,,,,,,,,,,,,,,,,0.130537227
ECOR36,,N-C-,cAMP_II,Acetate,0.25282739,,,,,,,,,,,,,,,,,,0.030080393
ECOR38,,LB,Growth rate expt_I,LB,2.37775322,,,,,0,,,,,,,,,,,,,
ECOR38,,LB,Growth rate expt_II,LB,2.44551523,,,,,0,,,,,,,,,,,,,
ECOR38,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.74585,,,,,0,,,,,,,,,,,,,
ECOR38,,MOPS,soft_agar expt_I,Glycerol,0.827,,,,,0,,,,,,,,,0,,,,
ECOR38,,MOPS,soft_agar expt_I,Glu+CAA,1.325,,,,,0,,,,,,,,,,,,,
ECOR38,,MOPS,soft_agar expt_I,Gly+CAA,1.169,,,,,0,,,,,,,,,,,,,
ECOR38,,MOPS,swimming expt_I,Gly+CAA,1.27,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Growth rate expt_I,Glucose,0.84101563,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Growth rate expt_II,Glucose,0.85424228,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Growth rate expt_I,Glycerol,0.76707792,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Growth rate expt_I,Acetate,0.31446138,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Growth rate expt_II,Acetate,0.31139342,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Growth rate expt_I,Maltose,0.793302,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Growth rate expt_I,Fructose,0.714158,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Growth rate expt_I,Succinate,0.709261,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Yield expt (in glucose),Glucose,0.841016,,,4.547432,-3.442099,-2.894860333,,,,,,,,,,,,,
ECOR38,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR38,,N-C-,Diauxie expt,Glucose,0.751807,Acetate,0.24471,,,0,2.948797,,,,,,,,,,,,
ECOR38,,N-C-,Preferred sugar expt,Mixed carbon,0.86004154,,,,,0,,,,,,,,,,,,,
ECOR38,,MOPS,Preferred sugar expt,Mixed carbon,0.875518431,,,4.582789258,-4.01287615,-3.51334703,,0.530612652,0.075837439,1.380356452,-0.218303886,,,,,,,,
ECOR39,,LB,Growth rate expt_I,LB,2.525073,,,,,0,,,,,,,,,,,,,
ECOR39,,LB,Growth rate expt_II,LB,2.32620385,,,,,0,,,,,,,,,,,,,
ECOR39,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.736918,,,,,0,,,,,,,,,,,,,
ECOR39,,MOPS,soft_agar expt_I,Glycerol,0.0355,,,,,0,,,,,,,,,0,,,,
ECOR39,,MOPS,soft_agar expt_I,Glu+CAA,1.3111,,,,,0,,,,,,,,,,,,,
ECOR39,,MOPS,soft_agar expt_I,Gly+CAA,1.215,,,,,0,,,,,,,,,,,,,
ECOR39,,MOPS,swimming expt_I,Gly+CAA,1.19,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Growth rate expt_I,Glucose,0.90373105,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Growth rate expt_II,Glucose,0.88803162,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Growth rate expt_I,Glycerol,0.70069451,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Growth rate expt_I,Acetate,0.31308517,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Growth rate expt_II,Acetate,0.31313735,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Growth rate expt_I,Maltose,0.815911,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Growth rate expt_I,Fructose,0.688345,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Growth rate expt_I,Succinate,0.69369,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Yield expt (in glucose),Glucose,0.903731,,,4.211299,-2.578252,-2.330046258,,,,,,,,,,,,,
ECOR39,,LB,R/P expt,LB,2.5251,,,,,0,,,,,,,,,,174.95,290.92,0.601367474,
ECOR39,,MOPS,R/P expt,Glu+CAA+ACGU,1.7369,,,,,0,,,,,,,,,,156.3818722,293.1092703,0.533527555,
ECOR39,,N-C-,R/P expt,Glu+CAA,1.2131,,,,,0,,,,,,,,,,114.0645421,254.655653,0.447916788,
ECOR39,,N-C-,R/P expt,Glucose,0.8767,,,,,0,,,,,,,,,,85.65517241,252.000252,0.348499731,
ECOR39,,N-C-,R/P expt,Glucose,0.86555,,,,,0,,,,,,,,,,84.60272302,236.5450182,0.348499731,
ECOR39,,N-C-,R/P expt,Glycerol,0.8099,,,,,0,,,,,,,,,,73.45685032,275.2881325,0.270943499,
ECOR39,,N-C-,R/P expt,Glycerol,0.78965,,,,,0,,,,,,,,,,71.58028059,260.0158394,0.270943499,
ECOR39,,N-C-,R/P expt,Acetate,0.313,,,,,0,,,,,,,,,,51.14330404,284.0116925,0.18795136,
ECOR39,,N-C-,R/P expt,Acetate,0.3328,,,,,0,,,,,,,,,,54.47441491,277.9300717,0.18795136,
ECOR39,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR39,,N-C-,Diauxie expt,Glucose,0.865522,Acetate,0.340695,,,0,0.946477,,,,,,,,,,,,
ECOR39,,N-C-,Preferred sugar expt,Mixed carbon,0.9492869,,,,,0,,,,,,,,,,,,,
ECOR39,,MOPS,Preferred sugar expt,Mixed carbon,0.91267027,,,4.583549208,-3.527988488,-3.219890205,,0.542654933,0.002529129,1.18483533,-0.170834594,,,,,,,,
ECOR41,,LB,Growth rate expt_I,LB,2.56186568,,,,,0,,,,,,,,,,,,,
ECOR41,,LB,Growth rate expt_II,LB,2.34678614,,,,,0,,,,,,,,,,,,,
ECOR41,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.788339,,,,,0,,,,,,,,,,,,,
ECOR41,,MOPS,soft_agar expt_I,Glycerol,0.8221,,,,,0,,,,,,,,,0,,,,
ECOR41,,MOPS,soft_agar expt_I,Glu+CAA,1.2469,,,,,0,,,,,,,,,,,,,
ECOR41,,MOPS,soft_agar expt_I,Gly+CAA,1.197,,,,,0,,,,,,,,,,,,,
ECOR41,,MOPS,swimming expt_I,Gly+CAA,1.2,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_I,Glucose,0.92291717,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_II,Glucose,0.88506279,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_III,Glucose,0.89914219,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_I,Glycerol,0.76580312,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_II,Glycerol,0.77096521,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_III,Glycerol,0.78791709,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_I,Acetate,0.06392205,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_II,Acetate,0.04906944,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_III,Acetate,0.0630215,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_I,Maltose,0.768136,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_I,Fructose,0.711989,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Growth rate expt_I,Succinate,0.65833,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Yield expt (in glucose),Glucose,0.939529,,,3.971714,-2.152489,-2.022325838,,,,,,,,,,,,,
ECOR41,,MOPS,Yield expt (in glycerol),Glycerol,0.72278,,,,0,0,,,,,8.6477,,,,,,,,
ECOR41,,MOPS,Yield expt (in galactose),Galactose,0.63,,,,0,0,,,,,,4.21,,,,,,,
ECOR41,,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.26,,,,-4.135,-5.2101,,,,,,,3.44,,,,,,
ECOR41,,N-C-,Yield expt (in acetate),Acetate,,,,,21.94,0,,,,,,,,,,,,,
ECOR41,,N-C-,Diauxie expt,Glucose,0.794629,Acetate,0.074927,,,0,4.046541,,,,,,,,,,,,
ECOR41,,N-C-,Preferred sugar expt_II,Mixed carbon,0.89416755,,,,,0,,,,,,,,,,,,,
ECOR41,,N-C-,Preferred sugar expt_I,Mixed carbon,0.92088636,,,,,0,,,,,,,,,,,,,
ECOR41,,MOPS,Preferred sugar expt,Mixed carbon,0.883065098,,,3.935970585,-2.538677651,-2.241817628,,0.581837479,0.216210443,0.957318898,-0.308859289,,,,,,,,
ECOR42,,LB,Growth rate expt_I,LB,2.16637697,,,,,0,,,,,,,,,,,,,
ECOR42,,LB,Growth rate expt_II,LB,2.34899258,,,,,0,,,,,,,,,,,,,
ECOR42,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.892665,,,,,0,,,,,,,,,,,,,
ECOR42,,MOPS,soft_agar expt_I,Glycerol,0.7526,,,,,0,,,,,,,,,3.2476,,,,
ECOR42,,MOPS,soft_agar expt_I,Glu+CAA,1.399,,,,,0,,,,,,,,,,,,,
ECOR42,,MOPS,soft_agar expt_I,Gly+CAA,1.278,,,,,0,,,,,,,,,,,,,
ECOR42,,MOPS,swimming expt_I,Gly+CAA,1.14,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Growth rate expt_I,Glucose,0.85764154,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Growth rate expt_II,Glucose,0.85714434,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Growth rate expt_I,Glycerol,0.69411082,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Growth rate expt_I,Acetate,0.34135157,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Growth rate expt_II,Acetate,0.32560773,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Growth rate expt_I,Maltose,0.81349,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Growth rate expt_I,Fructose,0.654143,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Growth rate expt_I,Succinate,0.702093,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Yield expt (in glucose),Glucose,0.85764154,,,4.064962,-2.740564,-2.350421529,,,,,,,,,,,,,
ECOR42,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR42,,N-C-,Diauxie expt,Glucose,0.500481,Acetate,0.314974,,,0,0.757554,,,,,,,,,,,,
ECOR42,,N-C-,Preferred sugar expt,Mixed carbon,0.91036231,,,,,0,,,,,,,,,,,,,
ECOR42,,MOPS,Preferred sugar expt,Mixed carbon,1.017712921,,,4.295372964,-2.17543025,-2.213963475,,0.650377576,0.102003924,1.006889443,0.00484406,,,,,,,,
ECOR51,,LB,Growth rate expt_I,LB,2.01,,,,,,,,,,,,,,,,,,
ECOR51,,LB,Growth rate expt_II,LB,2.11,,,,,,,,,,,,,,,,,,
ECOR51,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.359335,,,,,0,,,,,,,,,,,,,
ECOR51,,MOPS,soft_agar expt_I,Glycerol,0.5262,,,,,0,,,,,,,,,2.0616,,,,
ECOR51,,MOPS,soft_agar expt_I,Glu+CAA,0.8412,,,,,0,,,,,,,,,,,,,
ECOR51,,MOPS,soft_agar expt_I,Gly+CAA,1.09,,,,,0,,,,,,,,,,,,,
ECOR51,,MOPS,swimming expt_I,Gly+CAA,1.02,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_I,Glucose,0.28745043,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_II,Glucose,0.29940171,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_I,Glycerol,0.56581908,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_I,Acetate,0.33058722,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_II,Acetate,0.31100812,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_I,Maltose,0.571163,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_I,Fructose,0.441328,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_I,Succinate,0.567075,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Growth rate expt_I,Lactose,0.48972319,,,,,0,,,,,,,,,,,,,
ECOR51,,MOPS,Yield expt (in fru_glu),fru_glu,0.509316,,,1.742984,-2.383513,-1.213961307,,4.071382,,,,,,,,,,,
ECOR51,,MOPS,Yield expt (in mal_glu),mal_glu,0.457956,,,1.115971,-2.496657,-1.143359053,,,1.906663,,,,,,,,,,
ECOR51,,MOPS,Yield expt (in fru_mal),fru_mal,0.503935,,,,-3.063451,-1.54378018,,3.2638,1.101414,,,,,,,,,,
ECOR51,,N-C-,Yield expt (in glucose),Glucose,0.28745043,,,5.259632,0,0,,,,,,,,,,,,,
ECOR51,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR51,,N-C-,Diauxie expt,Glucose,0.263347,Acetate,0.1037,,,0,3.091939,,,,,,,,,,,,
ECOR51,,N-C-,Preferred sugar expt,Mixed carbon,0.67593069,,,,,0,,,,,,,,,,,,,
ECOR51,,MOPS,Preferred sugar expt,Mixed carbon,0.7108706,,,0.10482184,-1.626335003,-1.156113739,,1.548605301,0.670068097,1.667796674,-0.392620266,,,,,,,,
ECOR51,,N-C-,cAMP_I,Glucose,0.29218603,,,,,,,,,,,,,,,,,,0.125789318
ECOR51,,N-C-,cAMP_I,Fructose,0.29243562,,,,,,,,,,,,,,,,,,0.08043001
ECOR51,,N-C-,cAMP_I,Maltose,0.58320949,,,,,,,,,,,,,,,,,,0.127756024
ECOR51,,N-C-,cAMP_I,Acetate,0.34435887,,,,,,,,,,,,,,,,,,0.148659389
ECOR51,,N-C-,cAMP_II,Glucose,0.2781065,,,,,,,,,,,,,,,,,,0.104911204
ECOR51,,N-C-,cAMP_II,Fructose,0.31416825,,,,,,,,,,,,,,,,,,0.066375197
ECOR51,,N-C-,cAMP_II,Maltose,0.58296107,,,,,,,,,,,,,,,,,,0.136181126
ECOR51,,N-C-,cAMP_II,Acetate,0.35496329,,,,,,,,,,,,,,,,,,0.108606953
ECOR53,,LB,Growth rate expt_I,LB,2.42717025,,,,,0,,,,,,,,,,,,,
ECOR53,,LB,Growth rate expt_II,LB,2.42077715,,,,,0,,,,,,,,,,,,,
ECOR53,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.861805,,,,,0,,,,,,,,,,,,,
ECOR53,,MOPS,soft_agar expt_I,Glycerol,,,,,,0,,,,,,,,,,,,,
ECOR53,,MOPS,soft_agar expt_I,Glu+CAA,1.053,,,,,0,,,,,,,,,,,,,
ECOR53,,MOPS,soft_agar expt_I,Gly+CAA,1.131,,,,,0,,,,,,,,,,,,,
ECOR53,,MOPS,swimming expt_I,Gly+CAA,1.13,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_I,Glucose,0.58705514,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_II,Glucose,0.5650659,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_III,Glucose,0.54774191,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_I,Glycerol,0.53527341,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_II,Glycerol,0.37916878,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_III,Glycerol,0.42395695,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_I,Acetate,0.07058558,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_II,Acetate,0.07182689,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_III,Acetate,0.06485066,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_I,Maltose,0.638218,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_I,Fructose,0.431347,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Growth rate expt_I,Succinate,0.317025,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Yield expt (in glucose),Glucose,0.736862,,,4.770898,-3.495999,-2.576068815,,,,,,,,,,,,,
ECOR53,,MOPS,Yield expt (in glycerol),Glycerol,0.117,,,,-3.66,-0.42822,,,,,11.26,,,,,,,,
ECOR53,,MOPS,Yield expt (in galactose),Galactose,0.173,,,,-6.29,-1.08817,,,,,,7.33,,,,,,,
ECOR53,,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.12,,,,-3.936,-4.40832,,,,,,,3.813,,,,,,
ECOR53,,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.861805,,,,-10.623,-19.77795452,,,,,,,,,,,,,
ECOR53,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Diauxie expt,Glucose,0.776233,Acetate,0.04939,,,0,4.740056,,,,,,,,,,,,
ECOR53,,N-C-,Preferred sugar expt_I,Mixed carbon,0.85299156,,,,,0,,,,,,,,,,,,,
ECOR53,,N-C-,Preferred sugar expt_II,Mixed carbon,0.85213015,,,,,0,,,,,,,,,,,,,
ECOR53,,MOPS,Preferred sugar expt,Mixed carbon,0.7357,,,4.00045452,-3.496085962,-2.572070442,,1.280158933,0.017969474,1.19606291,-0.086396441,,,,,,,,
ECOR53,,N-C-,cAMP_I,Glucose,0.81401515,,,,,,,,,,,,,,,,,,0.080223718
ECOR53,,N-C-,cAMP_I,Fructose,0.29296438,,,,,,,,,,,,,,,,,,0.045667639
ECOR53,,N-C-,cAMP_I,Acetate,0.11219631,,,,,,,,,,,,,,,,,,0.063039007
ECOR53,,N-C-,cAMP_II,Glucose,0.6665376,,,,,,,,,,,,,,,,,,0.051664262
ECOR53,,N-C-,cAMP_II,Fructose,0.25396173,,,,,,,,,,,,,,,,,,0.038700125
ECOR53,,N-C-,cAMP_II,Acetate,0.12416938,,,,,,,,,,,,,,,,,,0.045668591
ECOR54,,LB,Growth rate expt_I,LB,2.26845262,,,,,0,,,,,,,,,,,,,
ECOR54,,LB,Growth rate expt_II,LB,2.32947423,,,,,0,,,,,,,,,,,,,
ECOR54,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.677236,,,,,0,,,,,,,,,,,,,
ECOR54,,MOPS,soft_agar expt_I,Glycerol,,,,,,0,,,,,,,,,,,,,
ECOR54,,MOPS,soft_agar expt_I,Glu+CAA,0.568,,,,,0,,,,,,,,,,,,,
ECOR54,,MOPS,soft_agar expt_I,Gly+CAA,0.6324,,,,,0,,,,,,,,,,,,,
ECOR54,,MOPS,swimming expt_I,Gly+CAA,0.79,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_I,Glucose,0.43201391,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_II,Glucose,0.47846063,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_III,Glucose,0.37278222,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_I,Glycerol,0.63798409,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_II,Glycerol,0.67165025,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_III,Glycerol,0.63112779,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_I,Acetate,0.06351944,,,,,0.00E+00,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_II,Acetate,0.08380955,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_III,Acetate,0.06599894,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_I,Maltose,0.695312,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_I,Fructose,0.490775,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_I,Succinate,0.232423,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Growth rate expt_I,Lactose,0.62202383,,,,,0,,,,,,,,,,,,,
ECOR54,,MOPS,Yield expt (in fru_glu),fru_glu,0.572797,,,4.18,-4.8,-2.7494256,,1.32,,,,,,,,,,,
ECOR54,,MOPS,Yield expt (in mal_glu),mal_glu,0.46668,,,4.583147,-5.460802,-2.548447077,,,0.950528,,,,,,,,,,
ECOR54,,MOPS,Yield expt (in fru_mal),fru_mal,0.11275,,,,-4.115033,-0.463969971,,23.610731,5.950263,,,,,,,,,,
ECOR54,,N-C-,Yield expt (in glucose),Glucose,0.179409,,,5.689056,-6.124224,-1.098740904,,,,,,,,,,,,,
ECOR54,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Diauxie expt,Glucose,0.552404,Acetate,0.151562,,,0,2.524155,,,,,,,,,,,,
ECOR54,,N-C-,Preferred sugar expt_I,Mixed carbon,0.82844078,,,,,0,,,,,,,,,,,,,
ECOR54,,N-C-,Preferred sugar expt_II,Mixed carbon,0.86435263,,,,,0,,,,,,,,,,,,,
ECOR54,,MOPS,Preferred sugar expt,Mixed carbon,0.670102384,,,4.604601197,-2.720473821,-1.822995993,,1.340276706,1.32810775,1.654000655,-0.170135578,,,,,,,,
ECOR55,,LB,Growth rate expt_I,LB,2.43725859,,,,,0,,,,,,,,,,,,,
ECOR55,,LB,Growth rate expt_II,LB,2.39944209,,,,,0,,,,,,,,,,,,,
ECOR55,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.846817,,,,,0,,,,,,,,,,,,,
ECOR55,,MOPS,soft_agar expt_I,Glycerol,0.6001,,,,,0,,,,,,,,,1.8804,,,,
ECOR55,,MOPS,soft_agar expt_I,Glu+CAA,1.517,,,,,0,,,,,,,,,,,,,
ECOR55,,MOPS,soft_agar expt_I,Gly+CAA,1.274,,,,,0,,,,,,,,,,,,,
ECOR55,,MOPS,swimming expt_I,Gly+CAA,1.29,,,,,0,,,,,,,,,,,,,
ECOR55,,N-C-,Growth rate expt_I,Glucose,0.43756797,,,,,0,,,,,,,,,,,,,
ECOR55,,N-C-,Growth rate expt_II,Glucose,0.50286108,,,,,0,,,,,,,,,,,,,
ECOR55,,N-C-,Growth rate expt_III,Glucose,0.4299745,,,,,0,,,,,,,,,,,,,
