function,gene,gene_alternativename,description,reference,notes
maltose,malE,,,,
maltose,malF,,,,
maltose,malG,,,,
maltose,malK,,,,
maltose,lamB,,,,
maltose,malQ,,,,
maltose,malX,,,,
acetate,actP,,,,
acetate,acs,,,,
acetate,satP,,,,
acetate,ackA,,,,
acetate,pta,,,,
acetate,aceA,,,,
acetate,aceB,,,,
acetate,aceK,,,,
succinate,cbt,,,,
succinate,dctA,,,,
succinate,cdtB,,,,
succinate,sdh,,,,
succinate,frd,,,,
glycerol,glpF,,,,
glycerol,glpK,,,,
glycerol,glpD,,,,
fructose,fruA,ptsF,,,
fructose,fruB,,,,
fructose,fruK,,,,
gluconeogenesis,fbp,,,,
gluconeogenesis,pckA,,,,
glucose,ptsG,,,,
pts,ptsH,,,,
pts,ptsI,,,,
pts,crr,,,,
glycolysis,pgi,,,,
glycolysis,pfkA,,,,
glycolysis,pfkB,,,,
glycolysis,fbaA,,,,
glycolysis,tpiA,,,,
glycolysis,gapA,,,,
glycolysis,pgk,,,,
glycolysis,gpmA,,,,
glycolysis,gpmM,,,,
glycolysis,eno,,,,
glycolysis,pykA,,,,
glycolysis,pykF,,,,